system_code,tag,equipment_type,description,criticality,sil_level,inspection_group,corrosion_loop,manufacturer,model_number,serial_number,weight_kg,line_number
29,P-2802.C,Pump,Part of G-2802,,,,,,,,,
12,AF-09,Wellhead,Annular Flow Equipment,,,,,,,,,
29,LT-282020,Package Equipment,Part of G-2802,,,,,,,,,
12,HV-289920.B-06,Hydraulic Valve,Part of AF-09,,,,,,,,,
12,HV-289920.B-04,Hydraulic Valve,Part of AF-09,,,,,,,,,
12,HV-289920.C-05,Hydraulic Valve,Part of AF-10,,,,,,,,,
12,HV-289920.B-02,Hydraulic Valve,Part of AF-09,,,,,,,,,
12,HV-289920.A-09,Hydraulic Valve,Part of AF-4,,,,,,,,,
12,HV-289920.A-06,Hydraulic Valve,Part of AF-4,,,,,,,,,
12,SSV-289920.C,Equipment,Part of AF-10,,,,,,,,,
29,PT-289901.C,Package Equipment,Part of G-2802,,,,,,,,,
12,HV-289920.B-05,Hydraulic Valve,Part of AF-09,,,,,,,,,
29,PT-289901.A/B,Package Equipment,Part of G-2802,,,,,,,,,
99,CRANE,Crane,Platform Crane,,,,,,,,,
12,HV-289920.C-06,Hydraulic Valve,Part of AF-10,,,,,,,,,
12,HV-289920.B-07,Hydraulic Valve,Part of AF-09,,,,,,,,,
12,HV-289920.A-04,Hydraulic Valve,Part of AF-4,,,,,,,,,
12,HV-289920.C-02,Hydraulic Valve,Part of AF-10,,,,,,,,,
99,Q-2801,Heat Exchanger,,,,,,,,,,
12,HV-289920.A-01,Hydraulic Valve,Part of AF-4,,,,,,,,,
12,GP-2802,Generator Package,,,,,,,,,,
12,HV-289920.A-07,Hydraulic Valve,Part of AF-4,,,,,,,,,
12,HV-289920.B-01,Hydraulic Valve,Part of AF-09,,,,,,,,,
12,HV-289920.B-08,Hydraulic Valve,Part of AF-09,,,,,,,,,
12,HV-289920.C-07,Hydraulic Valve,Part of AF-10,,,,,,,,,
31,Q-2803,Heat Exchanger,,,,,,,,,,
12,HV-289920.B-03,Hydraulic Valve,Part of AF-09,,,,,,,,,
31,LT-283010,Equipment,Part of Q-2803,,,,,,,,,
29,Q-2802,Heat Exchanger,Part of G-2802,,,,,,,,,
12,HV-289920.A-05,Hydraulic Valve,Part of AF-4,,,,,,,,,
22,GP-2801,Generator Package,,,,,,,,,,
12,SSV-289920.A,Equipment,Part of AF-4,,,,,,,,,
29,P-2802.B,Pump,Part of G-2802,,,,,,,,,
