system_code,tag,instrument_type,description,range_min,range_max,range_unit,set_point,scada_tag,io_type,signal_type,loop_number,line_number
,DGTC-287700.04,Gas Detector,,,,,,,,,,
,PT-281031,Pressure Transmitter,,,,,,,,,,
,PSLL-289941.B,Pressure Switch Low Low,,,,,,,,,,
,PG-281014.C,Pressure Gauge,,,,,,,,,,
,PT-281045.A,Pressure Transmitter,,,,,,,,,,
12,HCV-281040.A,Hydraulic Control Valve,,,,,,,,,,
,PSLL-289951,Pressure Switch Low Low,,,,,,,,,,
,PSHH-289943.A,Pressure Switch High High,,,,,,,,,,
,DGTC-287700.02,Gas Detector,,,,,,,,,,
,PT-281044.A,Pressure Transmitter,,,,,,,,,,
,PT-281010.C,Pressure Transmitter,,,,,,,,,,
,FT-281010.C,Flow Transmitter,,,,,,,,,,
,PG-281015.B,Pressure Gauge,,,,,,,,,,
,PSHH-289945.A,Pressure Switch High High,,,,,,,,,,
,PSHH-289962,Pressure Switch High High,,,,,,,,,,
,PT-281010.C,Pressure Transmitter,,,,,,,,,,
,DGTC-287700.05,Gas Detector,,,,,,,,,,
,PG-281014.A,Pressure Gauge,,,,,,,,,,
,PSLL-289941.C,Pressure Switch Low Low,,,,,,,,,,
,PT-281020.A,Pressure Transmitter,,,,,,,,,,
,PG-281013.B,Pressure Gauge,,,,,,,,,,
,PT-281040.C,Pressure Transmitter,,,,,,,,,,
,DGTC-287700.07,Gas Detector,,,,,,,,,,
,PSHH-289944.A,Pressure Switch High High,,,,,,,,,,
,PG-281013.C,Pressure Gauge,,,,,,,,,,
12,HCV-281040.C,Hydraulic Control Valve,,,,,,,,,,
,PG-281014.B,Pressure Gauge,,,,,,,,,,
,PSHH-289942.A,Pressure Switch High High,,,,,,,,,,
,PSHH-289945.A,Pressure Switch High High,,,,,,,,,,
,PT-281010.A,Pressure Transmitter,,,,,,,,,,
,PSLL-289941.A,Pressure Switch Low Low,,,,,,,,,,
,PSLL-289940.C,Pressure Switch Low Low,,,,,,,,,,
,PT-281044.B,Pressure Transmitter,,,,,,,,,,
,PSHH-289961,Pressure Switch High High,,,,,,,,,,
,FI-281010.C2,Flow Indicator,,,,,,,,,,
,PSHH-289944.A,Pressure Switch High High,,,,,,,,,,
,PT-281044.B/281040.B,Pressure Transmitter,,,,,,,,,,
,PG-281015.C,Pressure Gauge,,,,,,,,,,
,FT-281010.A,Flow Transmitter,,,,,,,,,,
,PT-281020.C,Pressure Transmitter,,,,,,,,,,
,FI-281010.A2,Flow Indicator,,,,,,,,,,
,PT-281044.C/281040.C,Pressure Transmitter,,,,,,,,,,
,PT-281040.B,Pressure Transmitter,,,,,,,,,,
12,HCV-281040.B,Hydraulic Control Valve,,,,,,,,,,
,PG-281016.C,Pressure Gauge,,,,,,,,,,
,PSLL-289340.A,Pressure Switch Low Low,,,,,,,,,,
,PG-281013.A,Pressure Gauge,,,,,,,,,,
,DGTC-287700.06,Gas Detector,,,,,,,,,,
,DGTC-287700.08,Gas Detector,,,,,,,,,,
,DGTC-287700.03,Gas Detector,,,,,,,,,,
,DGTC-287700.01,Gas Detector,,,,,,,,,,
,PT-281020.B,Pressure Transmitter,,,,,,,,,,
,PSLL-289940.B,Pressure Switch Low Low,,,,,,,,,,
,PT-281010.B,Pressure Transmitter,,,,,,,,,,
,PG-281015.A,Pressure Gauge,,,,,,,,,,
,PG-281012.A,Pressure Gauge,,,,,,,,,,
,TT-281010.A,Temperature Transmitter,,,,,,,,,,
,PT-281030,Pressure Transmitter,,,,,,,,,,
,FI-281010.B2,Flow Indicator,,,,,,,,,,
,PT-281044.A/PT-281045.A,Pressure Transmitter,,,,,,,,,,
,FT-281010.B,Flow Transmitter,,,,,,,,,,
,PT-281044.C,Pressure Transmitter,,,,,,,,,,
,PT-281010.B,Pressure Transmitter,,,,,,,,,,
,PG-281017.A,Pressure Gauge,,,,,,,,,,
,PSHH-289950,Pressure Switch High High,,,,,,,,,,
