system_code,line_number,nominal_size,fluid_code,pipe_class,insulation_code,insulation_thickness,tracing,from,to,service,flow_medium,liquid_flow_bpd,water_flow_bwpd,gas_flow_mmscfd,viscosity_cp,molecular_weight,density_kg_m3,operating_pressure_min,operating_pressure_max,operating_temperature_min,operating_temperature_max,design_pressure_min,design_pressure_max,design_temperature_min,design_temperature_max,test_pressure,test_medium,design_code,schedule_wall_thickness,stress_relief,nace_mr0175,ndt_rt_pct,ndt_dpi_pct,ndt_mpi_pct,pwht,pnid_references,remarks
31,"1""-DH-28-31-0204-B03-N","1""",DH,B03,N,,,"PUMP SKID P-2602 A/B/C,G-2802 PUMP SKID","3""-DH-28-31-0304-B03-N",Closed Drain,,,,,,,,,0,8,40,,1,-25,55,29.5,,,,,,100,,100,No,"AD-28-D-100002-SHT-001,AD-28-D-100003-SHT-001",
31,"1""-DH-28-31-0414-B06S-N","1""",DH,B06S,N,,,"3""-H-28-12-0113-H03S-N,2""-H-28-12-0114-H03S-N","3""-DH-28-31-0110-B03-N",Closed Drain,,,,,,,,,0,8,40,,7,-30,110,10.5,Water,,,,,100,,100,,AD-28-D-100001-SHT-001,
12,"1""-H-28-12-0105-J16-P","1""",H,J16,P,,,"8""-H-28-12-0104-J16-P","8""-H-28-18-0101-J20-N,3""-V-28-22-0101-B16-N",Process Fluid,,,,,,,,97,154,36,70,,350,-46,90,,,,,,,,,,Yes,AD-28-D-100001-SHT-001,
12,"1""-H-28-12-0113-H03S-N","1""",H,H03S,N,,,"20"" CASING (AF-4)","3""-DH-28-31-0414-B06S-N,BLIND END",Process Fluid,,,,,,,,,,,,,190,,100,,,,,,,100,,100,Yes,AD-28-D-100001-SHT-001,
12,"1""-H-28-12-0114-H03S-N","1""",H,H03S,N,,,"13 3/8"" CASING (AF-4)","3""-DH-28-31-0414-B06S-N,BLIND END",Process Fluid,,,,,,,,,,,,,190,,100,,,,,,,,,,,AD-28-D-100001-SHT-001,
12,"1""-H-28-12-0321-J26S-P","1""",H,J26S,P,,,"14""-H-28-12-0320-J26S-P","14""-H-28-12-0322-J20SPL-P",Process Fluid,,,,,,,,,121,,87,,350,-46,125,525,Water,,,,,100,,100,Yes,AD-28-D-100007-SHT-001,
12,"1""-H-28-12-0322-J20S-P","1""",H,J20S,P,,,"14""-H-28-12-0322-J20SPL-N",BLIND END,Process Fluid,,,,,,,,,,,,,,,,,Water,,,,,100,,100,Yes,AD-28-D-100007-SHT-001,
18,"1""-H-28-18-0101-J16-N","1""",H,J16,N,,,"8""-H-28-18-0101-J20-N",BLIND END,Process Fluid,,,,,,,,,,,,,,,,,,,,,,,,,,AD-28-D-100001-SHT-001,
29,"1""-JC-28-29-0110-J48-N","1""",JC,J48,N,,,"P-2802.B,P-2802.B,G2802","8""-H-28-12-0120-J85S-P",HP Corrosion Inhibitor,,,,,,,,,280,6,40,,350,-25,65,525,Water,,,,,100,100,,No,"AD-28-D-100002-SHT-001,AD-28-D-100005-SHT-001",
29,"1""-JC-28-29-0110-J85S-N","1""",JC,J85S,N,,,"P-2802.B,G2802","8""-H-28-12-0120-J85S-P",HP Corrosion Inhibitor,,,,,,,,,,,,,,,,,,,,,,,,,,AD-28-D-100005-SHT-001,
